id,gender,Age,abonoment_type,visit_per_week,attend_group_lesson,avg_time_check_in,avg_time_check_out,avg_time_in_gym,drink_abo,personal_training,name_personal_trainer,uses_sauna,Mon,Tue,Wed,Thu,Fri,Sat,Sun,has_fav_group_lesson,Group_Lesson_Kickboxen,Group_Lesson_BodyPump,Group_Lesson_Zumba,Group_Lesson_XCore,Group_Lesson_Running,Group_Lesson_Yoga,Group_Lesson_LesMiles,Group_Lesson_Pilates,Group_Lesson_HIT,Group_Lesson_Spinning,Group_Lesson_BodyBalance,has_fav_drink,fav_drink_berryboost,fav_drink_lemon,fav_drink_passion_fruit,fav_drink_coconut_pineapple,fav_drink_orange,fav_drink_black_currant
17,Male,37,Premium,3,0,9:25:00,12:06:00,161,0,1,Jeffrey,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Female,13,Standard,3,0,16:54:00,18:53:00,119,0,1,Mike,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Female,38,Standard,1,1,10:01:00,12:48:00,167,1,1,Hanna,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
20,Male,33,Premium,2,1,13:55:00,16:24:00,149,0,0,No PT,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,Female,26,Premium,2,0,8:19:00,10:45:00,146,0,1,Hanna,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Male,26,Premium,3,1,15:06:00,17:40:00,154,1,0,No PT,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0
23,Female,13,Standard,2,1,20:56:00,23:36:00,160,1,1,Mike,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
24,Male,14,Premium,3,0,14:34:00,16:33:00,119,1,1,Jeffrey,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
25,Female,16,Premium,1,0,8:42:00,10:34:00,112,0,0,No PT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Male,35,Standard,1,1,13:12:00,14:54:00,102,1,1,Chantal,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
27,Male,19,Premium,3,1,15:01:00,16:59:00,118,1,0,No PT,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
28,Male,32,Standard,5,1,19:41:00,21:35:00,114,1,1,Chantal,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0
29,Female,27,Premium,1,0,11:25:00,12:56:00,91,1,0,No PT,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
30,Female,21,Premium,3,1,20:15:00,21:36:00,81,1,0,No PT,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
31,Male,36,Premium,3,0,10:01:00,12:11:00,130,0,1,Jeffrey,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Male,24,Standard,5,0,20:53:00,23:33:00,160,1,0,No PT,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
33,Female,42,Premium,3,1,10:23:00,12:01:00,98,0,1,Chantal,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
34,Female,47,Premium,2,1,14:42:00,16:08:00,86,0,1,Hanna,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
35,Male,20,Premium,5,0,18:15:00,20:54:00,159,0,1,Mike,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Male,34,Standard,3,1,13:39:00,16:20:00,161,1,0,No PT,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
37,Female,43,Standard,5,0,9:02:00,10:21:00,79,0,0,No PT,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Female,40,Premium,2,0,8:39:00,10:37:00,118,0,0,No PT,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Male,44,Premium,1,0,20:43:00,22:58:00,135,1,0,No PT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
40,Female,18,Premium,2,1,10:26:00,12:13:00,107,1,0,No PT,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
41,Female,16,Premium,3,0,16:04:00,17:51:00,107,1,1,Hanna,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
42,Female,35,Standard,1,0,9:38:00,10:36:00,58,0,0,No PT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Female,29,Premium,1,1,10:25:00,12:04:00,99,1,1,Chantal,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
44,Female,28,Standard,1,0,11:49:00,14:11:00,142,1,1,Hanna,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
45,Male,48,Premium,2,0,9:57:00,12:35:00,158,0,1,Hanna,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Female,43,Standard,4,1,18:41:00,21:36:00,175,0,1,Hanna,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,Male,35,Standard,3,0,15:02:00,16:29:00,87,0,0,No PT,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Male,26,Premium,5,1,16:29:00,18:45:00,136,0,1,Jeffrey,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,Female,48,Premium,3,1,11:56:00,14:13:00,137,0,1,Chantal,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
50,Female,44,Premium,2,1,8:54:00,11:35:00,161,1,0,No PT,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
51,Male,45,Standard,3,0,9:43:00,11:16:00,93,1,0,No PT,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
52,Male,28,Premium,2,1,20:58:00,22:20:00,82,0,0,No PT,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,Female,20,Premium,2,1,9:26:00,10:35:00,69,0,0,No PT,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
54,Female,43,Standard,4,1,20:36:00,23:17:00,161,1,1,Mike,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
55,Male,24,Standard,2,1,15:49:00,18:31:00,162,1,1,Chantal,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
56,Male,22,Standard,3,0,17:13:00,18:24:00,71,0,0,No PT,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Female,23,Standard,3,0,8:36:00,11:18:00,162,0,0,No PT,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Male,46,Premium,5,1,12:19:00,12:49:00,30,0,1,Chantal,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59,Male,17,Premium,2,1,10:40:00,12:06:00,86,0,0,No PT,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Female,36,Standard,2,1,19:38:00,21:40:00,122,1,1,Chantal,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
61,Female,47,Premium,3,0,18:30:00,20:17:00,107,0,1,Chantal,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Female,29,Standard,3,0,10:28:00,11:36:00,68,0,1,Chantal,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Male,30,Standard,3,0,17:22:00,17:57:00,35,1,0,No PT,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
64,Female,22,Premium,3,0,10:41:00,11:38:00,57,1,1,Hanna,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
65,Female,41,Standard,2,0,13:55:00,16:22:00,147,0,0,No PT,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Female,45,Premium,4,0,13:06:00,13:54:00,48,0,0,No PT,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Female,22,Premium,1,1,8:18:00,11:08:00,170,0,0,No PT,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Male,20,Standard,5,1,13:04:00,13:37:00,33,1,1,Mike,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
69,Male,33,Premium,1,1,9:04:00,9:47:00,43,1,0,No PT,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
70,Female,36,Premium,3,0,11:11:00,13:56:00,165,0,0,No PT,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Male,30,Premium,5,1,13:04:00,13:58:00,54,0,1,Hanna,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Male,17,Premium,1,0,10:30:00,13:27:00,177,1,1,Mike,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
73,Male,35,Premium,2,0,17:06:00,18:39:00,93,1,1,Chantal,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
74,Male,28,Standard,2,0,20:17:00,23:03:00,166,1,0,No PT,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
75,Female,27,Standard,5,0,9:57:00,12:22:00,145,0,0,No PT,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Male,20,Premium,1,0,15:33:00,17:01:00,88,0,1,Mike,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Female,17,Premium,2,0,15:54:00,16:46:00,52,0,1,Hanna,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Male,33,Premium,2,1,16:16:00,18:03:00,107,1,1,Mike,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
79,Female,43,Standard,5,1,12:44:00,15:44:00,180,0,0,No PT,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Female,36,Standard,2,1,18:19:00,20:02:00,103,0,1,Jeffrey,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
81,Male,45,Standard,2,0,12:35:00,15:18:00,163,1,1,Mike,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
82,Male,42,Standard,3,1,18:55:00,21:00:00,125,0,0,No PT,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Male,29,Premium,1,0,8:33:00,9:57:00,84,1,0,No PT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
84,Male,18,Standard,3,1,9:15:00,10:04:00,49,1,0,No PT,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
85,Female,32,Premium,2,1,19:07:00,22:00:00,173,0,0,No PT,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
86,Female,27,Standard,3,1,20:29:00,21:35:00,66,0,1,Chantal,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
87,Male,47,Premium,3,1,12:51:00,14:37:00,106,0,1,Chantal,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
88,Female,16,Premium,2,0,11:29:00,13:03:00,94,1,0,No PT,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
89,Female,39,Standard,4,1,10:34:00,11:27:00,53,0,0,No PT,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90,Female,46,Standard,1,0,11:13:00,13:19:00,126,1,0,No PT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
91,Female,21,Premium,3,0,13:04:00,14:21:00,77,1,0,No PT,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
92,Male,31,Standard,1,1,14:37:00,15:25:00,48,0,1,Chantal,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Female,40,Standard,4,1,9:55:00,10:43:00,48,0,0,No PT,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
94,Female,41,Standard,2,1,16:43:00,18:46:00,123,1,1,Chantal,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
95,Female,12,Standard,3,1,10:10:00,12:50:00,160,1,0,No PT,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
96,Male,40,Standard,1,0,10:28:00,13:25:00,177,0,0,No PT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Male,29,Premium,3,0,14:16:00,17:08:00,172,0,0,No PT,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Male,19,Premium,2,0,16:57:00,18:54:00,117,1,1,Jeffrey,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
99,Female,34,Premium,2,0,9:35:00,12:00:00,145,0,1,Hanna,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Female,21,Premium,3,0,8:34:00,10:00:00,86,0,0,No PT,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Male,44,Standard,3,1,10:11:00,11:30:00,79,1,1,Jeffrey,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
102,Female,24,Standard,3,1,17:42:00,20:02:00,140,0,1,Mike,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Male,33,Standard,5,1,10:29:00,11:18:00,49,1,1,Chantal,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
104,Female,47,Premium,2,0,13:19:00,14:50:00,91,1,1,Mike,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
105,Female,38,Premium,1,1,9:51:00,10:33:00,42,1,1,Mike,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
106,Male,12,Premium,3,1,19:57:00,21:28:00,91,1,0,No PT,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
107,Female,21,Standard,2,0,20:13:00,21:48:00,95,1,0,No PT,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
108,Female,22,Standard,3,1,19:52:00,20:46:00,54,0,1,Chantal,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
109,Female,33,Premium,1,0,14:02:00,15:29:00,87,0,0,No PT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Female,20,Premium,2,1,17:52:00,20:41:00,169,0,0,No PT,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111,Female,30,Standard,3,1,17:43:00,18:23:00,40,0,0,No PT,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
112,Male,15,Standard,3,1,16:33:00,19:09:00,156,0,0,No PT,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
113,Female,47,Premium,1,0,16:23:00,18:07:00,104,0,1,Chantal,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Female,30,Premium,3,0,13:51:00,16:13:00,142,0,1,Jeffrey,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Female,14,Premium,3,0,14:36:00,15:11:00,35,0,1,Jeffrey,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Male,33,Premium,4,0,19:08:00,22:06:00,178,1,0,No PT,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
117,Male,49,Standard,1,1,18:02:00,18:44:00,42,1,0,No PT,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
118,Male,40,Standard,5,0,8:23:00,9:19:00,56,0,0,No PT,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Male,46,Premium,3,1,13:30:00,14:37:00,67,0,1,Jeffrey,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,Female,40,Standard,3,0,14:55:00,17:18:00,143,1,1,Chantal,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
121,Female,22,Premium,2,1,19:19:00,20:52:00,93,1,0,No PT,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
122,Female,43,Premium,1,1,20:09:00,21:57:00,108,0,0,No PT,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Female,33,Standard,3,0,9:46:00,12:17:00,151,0,0,No PT,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Female,14,Premium,3,0,14:40:00,15:53:00,73,0,1,Hanna,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Male,14,Standard,3,0,14:09:00,16:34:00,145,0,1,Jeffrey,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Male,14,Standard,3,0,8:40:00,10:15:00,95,0,1,Chantal,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Female,19,Standard,3,0,10:58:00,12:22:00,84,0,1,Hanna,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Female,32,Premium,3,0,14:23:00,15:48:00,85,1,0,No PT,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
129,Male,47,Premium,1,1,12:24:00,13:14:00,50,0,1,Hanna,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
130,Male,43,Premium,2,0,19:40:00,22:32:00,172,0,1,Chantal,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Male,34,Standard,3,0,15:41:00,17:04:00,83,1,1,Hanna,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
132,Male,21,Premium,1,0,18:11:00,20:51:00,160,1,1,Hanna,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
133,Male,27,Premium,2,1,11:35:00,13:34:00,119,1,0,No PT,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
134,Female,31,Premium,5,1,9:31:00,11:06:00,95,0,1,Mike,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
135,Female,21,Standard,2,0,13:05:00,14:45:00,100,1,1,Mike,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
136,Female,15,Standard,2,0,16:51:00,19:45:00,174,1,0,No PT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
137,Female,20,Premium,3,0,10:32:00,11:09:00,37,0,0,No PT,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Male,36,Standard,1,0,20:55:00,22:44:00,109,1,0,No PT,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
139,Female,31,Standard,5,0,19:28:00,20:10:00,42,0,0,No PT,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Female,14,Standard,2,1,10:33:00,12:57:00,144,1,0,No PT,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
141,Male,40,Premium,3,1,19:59:00,21:04:00,65,0,1,Mike,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
142,Female,22,Standard,5,1,8:13:00,9:46:00,93,0,0,No PT,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Female,16,Premium,3,0,17:21:00,18:46:00,85,0,1,Chantal,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Male,49,Premium,3,1,20:30:00,21:24:00,54,1,1,Jeffrey,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
145,Female,14,Premium,3,0,10:11:00,11:56:00,105,1,0,No PT,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
